No,year,month,day,hour,pm2.5
25,2010,1,2,0,129
26,2010,1,2,1,148
27,2010,1,2,2,159
28,2010,1,2,3,181
29,2010,1,2,4,138
30,2010,1,2,5,109
31,2010,1,2,6,105
32,2010,1,2,7,124
33,2010,1,2,8,120
34,2010,1,2,9,132
35,2010,1,2,10,140
36,2010,1,2,11,152
37,2010,1,2,12,148
38,2010,1,2,13,164
39,2010,1,2,14,158
40,2010,1,2,15,154
41,2010,1,2,16,159
42,2010,1,2,17,164
43,2010,1,2,18,170
44,2010,1,2,19,149
45,2010,1,2,20,154
46,2010,1,2,21,164
47,2010,1,2,22,156
48,2010,1,2,23,126
49,2010,1,3,0,90
50,2010,1,3,1,63
51,2010,1,3,2,65
52,2010,1,3,3,55
53,2010,1,3,4,65
54,2010,1,3,5,83
55,2010,1,3,6,91
56,2010,1,3,7,86
57,2010,1,3,8,82
58,2010,1,3,9,86
59,2010,1,3,10,78
60,2010,1,3,11,98
61,2010,1,3,12,107
62,2010,1,3,13,90
63,2010,1,3,14,96
64,2010,1,3,15,95
65,2010,1,3,16,86
66,2010,1,3,17,70
67,2010,1,3,18,61
68,2010,1,3,19,53
69,2010,1,3,20,71
70,2010,1,3,21,72
71,2010,1,3,22,76
72,2010,1,3,23,73
73,2010,1,4,0,79
74,2010,1,4,1,58
75,2010,1,4,2,25
76,2010,1,4,3,26
77,2010,1,4,4,28
78,2010,1,4,5,26
79,2010,1,4,6,20
80,2010,1,4,7,29
81,2010,1,4,8,26
82,2010,1,4,9,27
83,2010,1,4,10,27
84,2010,1,4,11,25
85,2010,1,4,12,29
86,2010,1,4,13,32
87,2010,1,4,14,28
88,2010,1,4,15,29
89,2010,1,4,16,30
90,2010,1,4,17,30
91,2010,1,4,18,28
92,2010,1,4,19,26
93,2010,1,4,20,31
94,2010,1,4,21,33
95,2010,1,4,22,29
96,2010,1,4,23,31
97,2010,1,5,0,30
98,2010,1,5,1,34
99,2010,1,5,2,27
100,2010,1,5,3,25
101,2010,1,5,4,28
102,2010,1,5,5,28
103,2010,1,5,6,27
104,2010,1,5,7,27
105,2010,1,5,8,27
106,2010,1,5,9,29
107,2010,1,5,10,36
108,2010,1,5,11,30
109,2010,1,5,12,27
110,2010,1,5,13,39
111,2010,1,5,14,41
112,2010,1,5,15,33
113,2010,1,5,16,50
114,2010,1,5,17,56
115,2010,1,5,18,59
116,2010,1,5,19,60
117,2010,1,5,20,84
118,2010,1,5,21,106
119,2010,1,5,22,66
120,2010,1,5,23,50
121,2010,1,6,0,56
122,2010,1,6,1,77
123,2010,1,6,2,50
124,2010,1,6,3,44
125,2010,1,6,4,27
126,2010,1,6,5,28
127,2010,1,6,6,21
128,2010,1,6,7,25
129,2010,1,6,8,20
130,2010,1,6,9,29
131,2010,1,6,10,34
132,2010,1,6,11,42
133,2010,1,6,12,28
134,2010,1,6,13,36
135,2010,1,6,14,48
136,2010,1,6,15,49
137,2010,1,6,16,52
138,2010,1,6,17,56
139,2010,1,6,18,96
140,2010,1,6,19,75
141,2010,1,6,20,105
142,2010,1,6,21,132
143,2010,1,6,22,93
144,2010,1,6,23,131
145,2010,1,7,0,127
146,2010,1,7,1,130
147,2010,1,7,2,43
148,2010,1,7,3,37
149,2010,1,7,4,30
150,2010,1,7,5,28
151,2010,1,7,6,24
152,2010,1,7,7,23
153,2010,1,7,8,24
154,2010,1,7,9,27
155,2010,1,7,10,40
156,2010,1,7,11,42
157,2010,1,7,12,42
158,2010,1,7,13,55
159,2010,1,7,14,52
160,2010,1,7,15,51
161,2010,1,7,16,57
162,2010,1,7,17,50
163,2010,1,7,18,54
164,2010,1,7,19,67
165,2010,1,7,20,106
166,2010,1,7,21,159
167,2010,1,7,22,198
168,2010,1,7,23,190
169,2010,1,8,0,210
170,2010,1,8,1,195
171,2010,1,8,2,275
172,2010,1,8,3,164
173,2010,1,8,4,110
174,2010,1,8,5,100
175,2010,1,8,6,81
176,2010,1,8,7,71
177,2010,1,8,8,66
178,2010,1,8,9,92
179,2010,1,8,10,135
180,2010,1,8,11,155
181,2010,1,8,12,198
182,2010,1,8,13,250
183,2010,1,8,14,200
184,2010,1,8,15,231
185,2010,1,8,16,250
186,2010,1,8,17,212
187,2010,1,8,18,219
188,2010,1,8,19,227
189,2010,1,8,20,226
190,2010,1,8,21,225
191,2010,1,8,22,168
192,2010,1,8,23,169
193,2010,1,9,0,165
194,2010,1,9,1,159
195,2010,1,9,2,167
196,2010,1,9,3,196
197,2010,1,9,4,169
198,2010,1,9,5,155
199,2010,1,9,6,119
200,2010,1,9,7,106
201,2010,1,9,8,93
202,2010,1,9,9,84
203,2010,1,9,10,73
204,2010,1,9,11,66
205,2010,1,9,12,40
206,2010,1,9,13,49
207,2010,1,9,14,50
208,2010,1,9,15,49
209,2010,1,9,16,41
210,2010,1,9,17,37
211,2010,1,9,18,45
212,2010,1,9,19,44
213,2010,1,9,20,54
214,2010,1,9,21,50
215,2010,1,9,22,47
216,2010,1,9,23,66
217,2010,1,10,0,75
218,2010,1,10,1,82
219,2010,1,10,2,66
220,2010,1,10,3,83
221,2010,1,10,4,62
222,2010,1,10,5,40
223,2010,1,10,6,23
224,2010,1,10,7,25
225,2010,1,10,8,27
226,2010,1,10,9,35
227,2010,1,10,10,50
228,2010,1,10,11,70
229,2010,1,10,12,75
230,2010,1,10,13,58
231,2010,1,10,14,70
232,2010,1,10,15,68
233,2010,1,10,16,71
234,2010,1,10,17,88
235,2010,1,10,18,84
236,2010,1,10,19,83
237,2010,1,10,20,66
238,2010,1,10,21,27
239,2010,1,10,22,24
240,2010,1,10,23,22
241,2010,1,11,0,23
242,2010,1,11,1,27
243,2010,1,11,2,23
244,2010,1,11,3,17
245,2010,1,11,4,17
246,2010,1,11,5,16
247,2010,1,11,6,16
248,2010,1,11,7,20
249,2010,1,11,8,20
250,2010,1,11,9,18
251,2010,1,11,10,25
252,2010,1,11,11,26
253,2010,1,11,12,27
254,2010,1,11,13,28
255,2010,1,11,14,15
256,2010,1,11,15,24
257,2010,1,11,16,13
258,2010,1,11,17,13
259,2010,1,11,18,13
260,2010,1,11,19,17
261,2010,1,11,20,20
262,2010,1,11,21,27
263,2010,1,11,22,20
264,2010,1,11,23,15
265,2010,1,12,0,21
