Date,NAO
1824-1-1,-0.16
1824-2-1,0.25
1824-3-1,-1.44
1824-4-1,1.46
1824-5-1,1.34
1824-6-1,-3.94
1824-7-1,-2.75
1824-8-1,-0.08
1824-9-1,0.19
1824-10-1,-1.0
1824-11-1,-0.7
1824-12-1,-0.01
1825-1-1,-0.23
1825-2-1,0.21
1825-3-1,0.33
1825-4-1,-0.28
1825-5-1,0.13
1825-6-1,0.41
1825-7-1,-0.92
1825-8-1,1.43
1825-9-1,-0.95
1825-10-1,1.98
1825-11-1,1.06
1825-12-1,-1.31
1826-1-1,-3.05
1826-2-1,4.87
1826-3-1,-0.97
1826-4-1,1.78
1826-5-1,-1.2
1826-6-1,0.83
1826-7-1,1.89
1826-8-1,2.72
1826-9-1,-0.76
1826-10-1,0.18
1826-11-1,-2.41
1826-12-1,-0.59
1827-1-1,-0.45
1827-2-1,-3.72
1827-3-1,1.83
1827-4-1,-0.83
1827-5-1,1.2
1827-6-1,-0.07
1827-7-1,2.02
1827-8-1,-3.56
1827-9-1,-0.07
1827-10-1,-3.02
1827-11-1,-1.42
1827-12-1,2.7
1828-1-1,1.27
1828-2-1,0.37
1828-3-1,-0.18
1828-4-1,0.04
1828-5-1,-1.59
1828-6-1,-1.33
1828-7-1,-4.4
1828-8-1,-2.54
1828-9-1,-2.78
1828-10-1,0.1
1828-11-1,-2.57
1828-12-1,3.04
1829-1-1,-2.48
1829-2-1,0.32
1829-3-1,-2.54
1829-4-1,0.12
1829-5-1,1.8
1829-6-1,-0.1
1829-7-1,0.33
1829-8-1,0.77
1829-9-1,0.78
1829-10-1,0.71
1829-11-1,-0.33
1829-12-1,-0.43
1830-1-1,-2.33
1830-2-1,1.2
1830-3-1,3.58
1830-4-1,3.08
1830-5-1,-0.05
1830-6-1,-0.85
1830-7-1,3.19
1830-8-1,-0.35
1830-9-1,2.04
1830-10-1,2.04
1830-11-1,2.19
1830-12-1,-3.13
1831-1-1,-2.91
1831-2-1,1.4
1831-3-1,1.48
1831-4-1,-3.15
1831-5-1,-2.47
1831-6-1,-1.36
1831-7-1,2.71
1831-8-1,-3.04
1831-9-1,-1.53
1831-10-1,0.85
1831-11-1,0.26
1831-12-1,0.36
1832-1-1,-0.04
1832-2-1,0.83
1832-3-1,2.12
1832-4-1,-1.51
1832-5-1,-1.96
1832-6-1,-3.62
1832-7-1,-2.57
1832-8-1,0.92
1832-9-1,1.45
1832-10-1,2.25
1832-11-1,0.62
1832-12-1,3.32
1833-1-1,-0.36
1833-2-1,2.52
1833-3-1,-2.89
1833-4-1,2.02
1833-5-1,0.69
1833-6-1,-1.52
1833-7-1,0.13
1833-8-1,-1.74
1833-9-1,-0.93
1833-10-1,-1.75
1833-11-1,1.4
1833-12-1,4.17
1834-1-1,3.07
1834-2-1,2.66
1834-3-1,1.37
1834-4-1,-2.38
1834-5-1,-1.03
1834-6-1,0.27
1834-7-1,-0.73
1834-8-1,-0.86
1834-9-1,-0.62
1834-10-1,0.3
1834-11-1,-2.28
1834-12-1,0.11
1835-1-1,0.37
1835-2-1,3.37
1835-3-1,1.54
1835-4-1,-1.02
1835-5-1,0.58
1835-6-1,0.1
1835-7-1,0.57
1835-8-1,2.35
1835-9-1,0.29
1835-10-1,-0.3
1835-11-1,-1.31
1835-12-1,-1.46
1836-1-1,1.47
1836-2-1,0.06
1836-3-1,2.28
1836-4-1,0.87
1836-5-1,-1.5
1836-6-1,2.95
1836-7-1,4.33
1836-8-1,2.8
1836-9-1,-1.59
1836-10-1,-1.17
1836-11-1,2.04
1836-12-1,-1.41
1837-1-1,-1.16
1837-2-1,4.67
1837-3-1,-3.08
1837-4-1,-0.56
1837-5-1,-1.02
1837-6-1,-2.98
1837-7-1,-2.4
1837-8-1,0.01
1837-9-1,0.17
1837-10-1,2.52
1837-11-1,1.34
1837-12-1,1.37
1838-1-1,-2.16
1838-2-1,-1.81
1838-3-1,1.23
1838-4-1,-0.61
1838-5-1,-2.16
1838-6-1,1.24
1838-7-1,0.11
1838-8-1,1.16
1838-9-1,1.46
1838-10-1,0.59
1838-11-1,-2.65
1838-12-1,2.55
1839-1-1,1.24
1839-2-1,4.2
1839-3-1,0.79
1839-4-1,1.4
1839-5-1,-0.94
1839-6-1,0.01
1839-7-1,1.14
1839-8-1,0.04
1839-9-1,1.09
1839-10-1,-1.27
1839-11-1,-2.89
1839-12-1,-0.63
1840-1-1,2.97
1840-2-1,-0.4
1840-3-1,-3.05
1840-4-1,0.87
1840-5-1,-0.58
1840-6-1,-0.08
1840-7-1,1.23
1840-8-1,0.05
1840-9-1,0.46
1840-10-1,-2.5
1840-11-1,0.46
1840-12-1,-2.43
1841-1-1,-0.71
1841-2-1,-1.37
1841-3-1,2.41
1841-4-1,1.97
1841-5-1,1.65
1841-6-1,-0.61
1841-7-1,-0.62
1841-8-1,2.39
1841-9-1,-2.76
1841-10-1,-2.13
1841-11-1,1.76
1841-12-1,0.21
1842-1-1,2.45
1842-2-1,4.26
1842-3-1,3.43
1842-4-1,-0.44
1842-5-1,-0.85
1842-6-1,-4.3
1842-7-1,-4.05
1842-8-1,1.03
1842-9-1,-3.8
1842-10-1,-3.73
1842-11-1,-2.66
1842-12-1,0.51
1843-1-1,2.99
1843-2-1,-3.51
1843-3-1,-1.28
1843-4-1,2.03
1843-5-1,-0.49
1843-6-1,-1.92
1843-7-1,3.26
1843-8-1,3.99
1843-9-1,-0.58
1843-10-1,-1.9
1843-11-1,0.87
1843-12-1,3.13
1844-1-1,0.2
1844-2-1,0.11
1844-3-1,1.09
1844-4-1,3.91
1844-5-1,-2.77
1844-6-1,-0.12
1844-7-1,0.37
1844-8-1,-1.0
1844-9-1,-1.53
1844-10-1,-0.99
1844-11-1,-0.02
1844-12-1,-1.9
1845-1-1,1.17
1845-2-1,0.06
1845-3-1,-0.54
1845-4-1,0.56
1845-5-1,-0.97
1845-6-1,2.07
1845-7-1,-0.16
1845-8-1,-0.29
1845-9-1,-0.23
1845-10-1,1.14
1845-11-1,0.49
1845-12-1,0.83
1846-1-1,2.26
1846-2-1,0.63
1846-3-1,1.75
1846-4-1,-1.42
1846-5-1,0.19
1846-6-1,1.45
1846-7-1,2.84
1846-8-1,-0.3
1846-9-1,-1.18
1846-10-1,0.01
1846-11-1,-0.59
1846-12-1,-2.55
1847-1-1,0.03
1847-2-1,0.1
1847-3-1,-1.59
1847-4-1,1.17
1847-5-1,1.76
1847-6-1,-0.26
1847-7-1,0.75
1847-8-1,1.13
1847-9-1,-0.32
1847-10-1,0.44
1847-11-1,2.46
1847-12-1,1.76
1848-1-1,-0.79
1848-2-1,1.77
1848-3-1,0.76
1848-4-1,-1.02
1848-5-1,0.69
1848-6-1,-1.78
1848-7-1,1.87
1848-8-1,2.64
1848-9-1,-2.55
1848-10-1,-2.44
1848-11-1,-0.84
1848-12-1,2.55
1849-1-1,2.42
1849-2-1,2.77
1849-3-1,-0.56
1849-4-1,-0.99
1849-5-1,-0.52
1849-6-1,-3.21
1849-7-1,1.2
1849-8-1,0.7
1849-9-1,-2.23
1849-10-1,-0.08
1849-11-1,0.8
1849-12-1,-1.24
1850-1-1,-0.16
1850-2-1,4.13
1850-3-1,-2.22
1850-4-1,0.97
1850-5-1,-1.16
1850-6-1,0.4
1850-7-1,0.31
1850-8-1,0.15
1850-9-1,-2.08
1850-10-1,-2.7
1850-11-1,2.39
1850-12-1,2.36
1851-1-1,3.29
1851-2-1,1.03
1851-3-1,1.5
1851-4-1,-1.66
1851-5-1,-1.53
1851-6-1,-1.62
1851-7-1,-5.39
1851-8-1,4.68
1851-9-1,1.85
1851-10-1,0.78
1851-11-1,-1.77
1851-12-1,1.74
1852-1-1,1.46
1852-2-1,0.41
1852-3-1,-2.5
1852-4-1,-1.6
1852-5-1,0.25
1852-6-1,0.09
1852-7-1,-1.13
1852-8-1,2.94
1852-9-1,-2.02
1852-10-1,-1.65
1852-11-1,-0.93
1852-12-1,1.03
1853-1-1,1.31
1853-2-1,-4.04
1853-3-1,-0.32
1853-4-1,0.76
1853-5-1,-3.17
1853-6-1,1.09
1853-7-1,1.76
1853-8-1,-2.36
1853-9-1,-0.22
1853-10-1,-0.47
1853-11-1,0.51
1853-12-1,-4.28
1854-1-1,1.28
1854-2-1,1.72
1854-3-1,2.67
1854-4-1,0.88
1854-5-1,0.04
1854-6-1,-0.06
1854-7-1,-1.92
1854-8-1,-0.03
1854-9-1,2.62
1854-10-1,1.11
1854-11-1,-1.56
1854-12-1,2.42
1855-1-1,-1.84
1855-2-1,-3.8
1855-3-1,-0.05
1855-4-1,0.99
1855-5-1,-2.28
1855-6-1,0.78
1855-7-1,-2.61
1855-8-1,3.81
1855-9-1,0.79
1855-10-1,-1.09
1855-11-1,-2.42
1855-12-1,-1.66
1856-1-1,-1.25
1856-2-1,-0.1
1856-3-1,-2.27
1856-4-1,2.0
1856-5-1,-0.7
1856-6-1,2.03
1856-7-1,-0.16
1856-8-1,-0.44
1856-9-1,-0.5
1856-10-1,1.12
1856-11-1,-1.69
1856-12-1,-0.23
1857-1-1,-0.69
1857-2-1,2.02
1857-3-1,1.09
1857-4-1,0.55
1857-5-1,-0.17
1857-6-1,-0.33
1857-7-1,5.36
1857-8-1,1.02
1857-9-1,1.21
1857-10-1,-0.2
1857-11-1,-1.68
1857-12-1,3.51
1858-1-1,2.26
1858-2-1,-0.54
1858-3-1,-1.24
1858-4-1,1.24
1858-5-1,0.53
1858-6-1,-0.24
1858-7-1,-1.58
1858-8-1,0.06
1858-9-1,2.33
1858-10-1,-1.86
1858-11-1,-4.41
1858-12-1,3.01
1859-1-1,2.74
1859-2-1,2.37
1859-3-1,1.5
1859-4-1,-1.12
1859-5-1,-0.63
1859-6-1,-0.06
1859-7-1,2.24
1859-8-1,1.82
1859-9-1,0.11
1859-10-1,-2.61
1859-11-1,0.29
1859-12-1,-1.31
1860-1-1,1.54
1860-2-1,0.32
1860-3-1,1.08
1860-4-1,-0.37
1860-5-1,-1.51
1860-6-1,-2.32
1860-7-1,-2.27
1860-8-1,-0.16
1860-9-1,-0.92
1860-10-1,2.28
1860-11-1,-3.44
1860-12-1,-2.14
1861-1-1,-0.56
1861-2-1,0.8
1861-3-1,2.06
1861-4-1,-1.86
1861-5-1,-1.99
1861-6-1,-1.04
1861-7-1,0.73
1861-8-1,2.91
1861-9-1,-0.85
1861-10-1,-0.8
1861-11-1,-1.35
1861-12-1,-1.5
1862-1-1,1.15
1862-2-1,-1.26
1862-3-1,-2.25
1862-4-1,0.64
1862-5-1,0.65
1862-6-1,-0.22
1862-7-1,-2.08
1862-8-1,-1.43
1862-9-1,-1.5
1862-10-1,1.75
1862-11-1,-0.49
1862-12-1,2.92
1863-1-1,1.12
1863-2-1,3.1
1863-3-1,1.88
1863-4-1,2.35
1863-5-1,-1.49
1863-6-1,-0.59
1863-7-1,-0.43
1863-8-1,0.1
1863-9-1,2.46
1863-10-1,-0.59
1863-11-1,1.62
1863-12-1,2.17
1864-1-1,2.03
1864-2-1,-0.27
1864-3-1,-1.78
1864-4-1,0.23
1864-5-1,-1.83
1864-6-1,1.76
1864-7-1,0.5
1864-8-1,-0.21
1864-9-1,1.12
1864-10-1,-6.05
1864-11-1,0.01
1864-12-1,-0.77
1865-1-1,0.15
1865-2-1,-0.42
1865-3-1,-1.03
1865-4-1,0.92
1865-5-1,0.87
1865-6-1,0.74
1865-7-1,-0.07
1865-8-1,-0.22
1865-9-1,3.24
1865-10-1,-2.66
1865-11-1,-0.14
1865-12-1,2.57
1866-1-1,2.06
1866-2-1,0.7
1866-3-1,-2.1
1866-4-1,-0.88
1866-5-1,-1.54
1866-6-1,-0.18
1866-7-1,0.29
1866-8-1,0.77
1866-9-1,1.52
1866-10-1,-0.03
1866-11-1,1.01
1866-12-1,2.14
