Date,SOI
1866-1-1,-0.62
1866-2-1,-0.12
1866-3-1,-0.62
1866-4-1,-0.65
1866-5-1,0.04
1866-6-1,-0.82
1866-7-1,-0.34
1866-8-1,0.36
1866-9-1,-0.18
1866-10-1,0.07
1866-11-1,1.1
1866-12-1,-0.16
1867-1-1,0.09
1867-2-1,-0.01
1867-3-1,-0.09
1867-4-1,0.83
1867-5-1,0.5
1867-6-1,-0.48
1867-7-1,0.44
1867-8-1,0.34
1867-9-1,0.12
1867-10-1,-0.56
1867-11-1,-0.65
1867-12-1,-0.89
1868-1-1,-0.16
1868-2-1,-0.34
1868-3-1,-1.56
1868-4-1,0.3
1868-5-1,-1.34
1868-6-1,-2.2
1868-7-1,-0.4
1868-8-1,-1.41
1868-9-1,-1.23
1868-10-1,-1.24
1868-11-1,-1.49
1868-12-1,0.52
1869-1-1,-1.9
1869-2-1,-0.26
1869-3-1,-0.59
1869-4-1,2.12
1869-5-1,1.4
1869-6-1,1.53
1869-7-1,1.42
1869-8-1,0.94
1869-9-1,0.12
1869-10-1,0.85
1869-11-1,0.56
1869-12-1,0.42
1870-1-1,1.06
1870-2-1,0.18
1870-3-1,-0.75
1870-4-1,0.47
1870-5-1,-0.11
1870-6-1,-1.1
1870-7-1,0.17
1870-8-1,0.98
1870-9-1,0.0
1870-10-1,-0.58
1870-11-1,-0.86
1870-12-1,-1.29
1871-1-1,-1.13
1871-2-1,-0.13
1871-3-1,-2.0
1871-4-1,-0.46
1871-5-1,-0.47
1871-6-1,0.24
1871-7-1,0.31
1871-8-1,0.38
1871-9-1,0.58
1871-10-1,-0.14
1871-11-1,-0.02
1871-12-1,0.97
1872-1-1,2.69
1872-2-1,1.12
1872-3-1,1.69
1872-4-1,-0.54
1872-5-1,1.35
1872-6-1,2.45
1872-7-1,2.3
1872-8-1,0.99
1872-9-1,3.14
1872-10-1,1.9
1872-11-1,3.09
1872-12-1,2.8
1873-1-1,2.47
1873-2-1,1.12
1873-3-1,1.63
1873-4-1,2.29
1873-5-1,1.19
1873-6-1,-3.09
1873-7-1,-1.14
1873-8-1,-0.59
1873-9-1,-2.13
1873-10-1,-1.78
1873-11-1,-0.36
1873-12-1,1.33
1874-1-1,0.9
1874-2-1,-0.28
1874-3-1,-0.52
1874-4-1,0.98
1874-5-1,1.29
1874-6-1,-1.92
1874-7-1,-0.14
1874-8-1,0.75
1874-9-1,2.03
1874-10-1,2.19
1874-11-1,0.53
1874-12-1,1.28
1875-1-1,0.65
1875-2-1,-0.11
1875-3-1,-1.0
1875-4-1,1.4
1875-5-1,0.75
1875-6-1,2.57
1875-7-1,-0.49
1875-8-1,-0.21
1875-9-1,0.83
1875-10-1,0.93
1875-11-1,-1.54
1875-12-1,-0.54
1876-1-1,1.16
1876-2-1,0.98
1876-3-1,-0.1
1876-4-1,0.94
1876-5-1,0.75
1876-6-1,1.98
1876-7-1,-0.51
1876-8-1,1.08
1876-9-1,0.98
1876-10-1,-1.0
1876-11-1,-0.46
1876-12-1,-0.45
1877-1-1,-0.88
1877-2-1,-1.44
1877-3-1,-1.07
1877-4-1,-3.87
1877-5-1,-1.71
1877-6-1,-4.34
1877-7-1,-0.96
1877-8-1,-1.06
1877-9-1,-1.71
1877-10-1,-1.7
1877-11-1,-1.31
1877-12-1,-1.52
1878-1-1,-0.98
1878-2-1,-2.22
1878-3-1,-1.86
1878-4-1,-1.07
1878-5-1,0.1
1878-6-1,-0.59
1878-7-1,1.6
1878-8-1,1.12
1878-9-1,1.7
1878-10-1,0.94
1878-11-1,1.39
1878-12-1,1.89
1879-1-1,1.28
1879-2-1,1.33
1879-3-1,1.3
1879-4-1,1.59
1879-5-1,0.1
1879-6-1,1.85
1879-7-1,2.19
1879-8-1,2.2
1879-9-1,1.8
1879-10-1,1.53
1879-11-1,0.76
1879-12-1,-0.71
1880-1-1,1.14
1880-2-1,0.7
1880-3-1,1.43
1880-4-1,0.79
1880-5-1,1.22
1880-6-1,0.97
1880-7-1,0.21
1880-8-1,1.26
1880-9-1,0.73
1880-10-1,0.56
1880-11-1,0.74
1880-12-1,-0.33
1881-1-1,-0.84
1881-2-1,-0.67
1881-3-1,0.02
1881-4-1,0.43
1881-5-1,-0.56
1881-6-1,-0.78
1881-7-1,-0.51
1881-8-1,-1.39
1881-9-1,-1.35
1881-10-1,-2.6
1881-11-1,0.49
1881-12-1,0.7
1882-1-1,-0.76
1882-2-1,-0.26
1882-3-1,0.41
1882-4-1,-0.06
1882-5-1,0.35
1882-6-1,-1.75
1882-7-1,-2.13
1882-8-1,-2.74
1882-9-1,-1.44
1882-10-1,-0.09
1882-11-1,0.21
1882-12-1,1.04
1883-1-1,0.48
1883-2-1,-0.95
1883-3-1,-2.94
1883-4-1,1.63
1883-5-1,1.47
1883-6-1,0.26
1883-7-1,-1.01
1883-8-1,0.06
1883-9-1,-0.81
1883-10-1,0.36
1883-11-1,0.19
1883-12-1,-1.77
1884-1-1,-1.4
1884-2-1,-0.61
1884-3-1,0.88
1884-4-1,-1.6
1884-5-1,0.18
1884-6-1,0.98
1884-7-1,-0.28
1884-8-1,-0.63
1884-9-1,-0.7
1884-10-1,0.38
1884-11-1,-0.26
1884-12-1,-1.5
1885-1-1,-1.78
1885-2-1,0.04
1885-3-1,0.39
1885-4-1,0.16
1885-5-1,0.01
1885-6-1,-1.91
1885-7-1,-0.45
1885-8-1,-1.13
1885-9-1,-0.43
1885-10-1,-1.92
1885-11-1,-1.55
1885-12-1,0.47
1886-1-1,-0.22
1886-2-1,0.0
1886-3-1,0.15
1886-4-1,0.49
1886-5-1,0.54
1886-6-1,0.43
1886-7-1,0.74
1886-8-1,1.33
1886-9-1,1.28
1886-10-1,1.3
1886-11-1,0.88
1886-12-1,1.51
1887-1-1,1.2
1887-2-1,0.95
1887-3-1,0.95
1887-4-1,1.0
1887-5-1,-0.58
1887-6-1,0.46
1887-7-1,0.53
1887-8-1,0.33
1887-9-1,0.45
1887-10-1,0.51
1887-11-1,-0.63
1887-12-1,0.45
1888-1-1,-0.32
1888-2-1,-0.33
1888-3-1,-1.47
1888-4-1,-2.8
1888-5-1,-1.12
1888-6-1,-2.16
1888-7-1,-1.64
1888-8-1,-1.09
1888-9-1,-0.94
1888-10-1,-1.61
1888-11-1,-1.37
1888-12-1,-0.4
1889-1-1,-2.84
1889-2-1,-0.21
1889-3-1,-3.2
1889-4-1,0.07
1889-5-1,-0.19
1889-6-1,2.49
1889-7-1,0.18
1889-8-1,0.05
1889-9-1,1.05
1889-10-1,0.29
1889-11-1,1.92
1889-12-1,2.35
1890-1-1,2.16
1890-2-1,1.03
1890-3-1,1.43
1890-4-1,0.75
1890-5-1,0.35
1890-6-1,0.45
1890-7-1,-0.23
1890-8-1,-0.42
1890-9-1,0.88
1890-10-1,0.17
1890-11-1,0.16
1890-12-1,-0.04
1891-1-1,1.56
1891-2-1,-0.49
1891-3-1,-1.22
1891-4-1,0.7
1891-5-1,0.28
1891-6-1,-0.28
1891-7-1,-0.58
1891-8-1,-1.2
1891-9-1,-1.08
1891-10-1,0.05
1891-11-1,-0.49
1891-12-1,-0.62
1892-1-1,0.2
1892-2-1,-1.13
1892-3-1,1.09
1892-4-1,0.96
1892-5-1,1.37
1892-6-1,2.25
1892-7-1,0.78
1892-8-1,0.48
1892-9-1,0.01
1892-10-1,0.85
1892-11-1,-0.88
1892-12-1,0.3
1893-1-1,0.91
1893-2-1,0.65
1893-3-1,0.32
1893-4-1,1.44
1893-5-1,1.76
1893-6-1,2.15
1893-7-1,1.88
1893-8-1,0.6
1893-9-1,1.21
1893-10-1,0.63
1893-11-1,0.83
1893-12-1,-0.5
1894-1-1,2.15
1894-2-1,0.97
1894-3-1,0.82
1894-4-1,1.1
1894-5-1,-0.86
1894-6-1,-0.01
1894-7-1,0.47
1894-8-1,-1.4
1894-9-1,-0.24
1894-10-1,0.31
1894-11-1,-0.89
1894-12-1,0.07
1895-1-1,0.54
1895-2-1,0.62
1895-3-1,-0.26
1895-4-1,1.34
1895-5-1,0.65
