Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06
000300,2019-01-02,2323.43,2325.99,2310.65,2321.98,451942.91
000300,2019-01-03,2311.97,2314.84,2280.89,2290.78,597826.45
000300,2019-01-06,2286.37,2286.37,2229.33,2238.64,663004.03
000300,2019-01-07,2222.31,2246.79,2218.65,2238,437531.03
000300,2019-01-08,2240.64,2262.58,2228.42,2241.91,513488.54
000300,2019-01-09,2236.97,2258.89,2220.8,2222.22,559870.41
000300,2019-01-10,2216.52,2224.49,2200.22,2204.85,541692.93
000300,2019-01-13,2207,2222.07,2183.6,2193.68,501227.72
000300,2019-01-14,2192.84,2214.12,2179.91,2212.85,540499.47
000300,2019-01-15,2210.02,2215.9,2193.8,2208.94,489623.95
000300,2019-01-16,2209.45,2227.26,2201.56,2211.84,522989.02
000300,2019-01-17,2203.82,2205.97,2175.88,2178.49,502731.55
000300,2019-01-20,2173.65,2182.46,2156.46,2165.99,405601.54
000300,2019-01-21,2168.42,2197.92,2168.42,2187.41,403062.47
000300,2019-01-22,2190.43,2244.13,2187.53,2243.8,706413.75
000300,2019-01-23,2242.25,2248.92,2228.06,2231.89,563459.51
000300,2019-01-24,2225.76,2257.36,2222.89,2245.68,611676.7
000300,2019-01-27,2233.02,2233.23,2211.8,2215.92,703442.46
000300,2019-01-28,2220.79,2233.26,2205.97,2219.86,532691.3
000300,2019-01-29,2225.71,2233.06,2219.93,2227.78,502227.17
000300,2019-01-30,2223.16,2223.16,2200.22,2202.45,436323.04
000300,2019-02-07,2187.34,2212.5,2177.12,2212.48,504593.15
000300,2019-02-10,2221.54,2270.19,2221.54,2267.53,830657.16
000300,2019-02-11,2267.74,2296.52,2262.6,2285.56,992298.29
000300,2019-02-12,2286.19,2294.32,2276.44,2291.25,765921.61
000300,2019-02-13,2288.45,2307.47,2278.26,2279.55,962177.89
000300,2019-02-14,2278.4,2295.85,2274.43,2295.58,670829.97
000300,2019-02-17,2308.79,2315.58,2293.55,2311.65,878316.66
000300,2019-02-18,2310.31,2310.31,2276.11,2282.44,870497.43
000300,2019-02-19,2280.93,2317.42,2274.15,2308.66,993525.61
000300,2019-02-20,2314.09,2331.7,2286.2,2287.44,1064395.33
000300,2019-02-21,2284.03,2287.87,2250.65,2264.29,763689.93
000300,2019-02-24,2246.72,2246.72,2194.16,2214.51,892159.39
000300,2019-02-25,2216.52,2225.21,2150.1,2157.91,932375.51
000300,2019-02-26,2147.74,2164.7,2137.08,2163.41,779932.97
000300,2019-02-27,2170.81,2180.06,2150.14,2154.11,901042.96
000300,2019-02-28,2149.45,2180.47,2133.55,2178.97,766680.57
000300,2019-03-03,2173.91,2194.22,2167.91,2190.37,820723.14
000300,2019-03-04,2183.86,2188.6,2161.59,2184.27,730692.5
000300,2019-03-05,2187.35,2189.09,2159.6,2163.98,613320.15
000300,2019-03-06,2159.4,2181.43,2136.45,2173.63,690937.67
000300,2019-03-07,2170.04,2189.39,2161.44,2168.36,642651.77
000300,2019-03-10,2149.68,2149.68,2095.07,2097.79,714164.07
000300,2019-03-11,2092.61,2118.79,2088.73,2108.66,576212.43
000300,2019-03-12,2102.8,2130.59,2090.76,2114.13,700697.47
000300,2019-03-13,2119.55,2149.44,2115.99,2140.33,692260.28
000300,2019-03-14,2129.87,2140.38,2109.58,2122.84,586177.37
000300,2019-03-17,2132.79,2143.2,2118.95,2143.04,524094.45
000300,2019-03-18,2146.12,2152.46,2134.92,2138.13,553541.32
000300,2019-03-19,2131.28,2131.28,2101.29,2120.87,593039.05
000300,2019-03-20,2116.19,2134.79,2086.5,2086.97,676312.85
000300,2019-03-21,2079.87,2163.23,2077.76,2158.8,1040248.07
000300,2019-03-24,2161.9,2186.73,2150.87,2176.55,1044919.84
000300,2019-03-25,2170.78,2191.49,2164.67,2174.44,868775.1
000300,2019-03-26,2181.23,2186.08,2165.22,2171.05,582761.76
000300,2019-03-27,2168.34,2186.89,2146.92,2155.71,712751.32
000300,2019-03-28,2154.52,2172.67,2144.58,2151.97,700860.73
000300,2019-03-31,2156.05,2165.25,2134.42,2146.31,554574.88
000300,2019-04-01,2143.72,2170.1,2141.15,2163.12,488664.03
000300,2019-04-02,2166.07,2182.68,2164.01,2180.73,650392.57
000300,2019-04-03,2188.64,2196.14,2160.75,2165.01,715360.32
000300,2019-04-04,2157.98,2186.15,2155.28,2185.47,479458.88
000300,2019-04-08,2179.92,2243.97,2178.91,2237.32,972191.17
000300,2019-04-09,2239.79,2246.79,2228.99,2238.62,663572.68
000300,2019-04-10,2241.45,2290.74,2229.52,2273.76,1145454.05
000300,2019-04-11,2269.57,2281.11,2261.13,2270.67,906158.97
000300,2019-04-14,2267.94,2275.83,2255.46,2268.61,622649.98
000300,2019-04-15,2261.41,2261.47,2225.69,2229.46,682181.3
000300,2019-04-16,2223.47,2245.32,2221.15,2232.53,516780.1
000300,2019-04-17,2238.78,2241.62,2221.95,2224.8,483336.28
000300,2019-04-18,2215.88,2228.77,2203.05,2224.48,507579.95
000300,2019-04-21,2209.94,2231.71,2186.76,2187.25,562782.8
000300,2019-04-22,2184.02,2196.85,2165.08,2196.8,570946.94
000300,2019-04-23,2191.23,2205.59,2187.39,2194.67,477635.31
000300,2019-04-24,2192.77,2209.45,2186.76,2190.47,450589.11
000300,2019-04-25,2195.82,2201.71,2167.64,2167.83,602453.83
000300,2019-04-28,2165.77,2171.39,2132.7,2134.97,604851.87
000300,2019-04-29,2134.41,2159.38,2131.78,2158.47,482049.31
000300,2019-04-30,2158.76,2164.18,2153.12,2158.66,453346.24
000300,2019-05-05,2152.59,2161.7,2131.23,2156.47,493440.73
000300,2019-05-06,2151.39,2173.62,2150.11,2157.33,480865.19
000300,2019-05-07,2151.47,2153.72,2136.99,2137.32,446074.7
000300,2019-05-08,2132.04,2168.21,2128.32,2135.5,483324.52
000300,2019-05-09,2138.84,2141.56,2120.6,2133.91,491811.35
000300,2019-05-12,2150.31,2184.33,2139.48,2180.05,834725.6
000300,2019-05-13,2180.06,2185.05,2167.77,2174.85,649125.18
000300,2019-05-14,2175.09,2184.22,2169,2172.37,485142.06
000300,2019-05-15,2169.28,2171.45,2142.34,2144.08,467340.32
000300,2019-05-16,2143.93,2150.5,2132.19,2145.95,422531.97
